export_schema_version,export_date,data_as_of,rank,repo_id,full_name,owner,name,language,current_stars,crossed_10k,crossed_50k,crossed_100k,url,source_views,license,attribution
1,2026-08-28,2026-08-28T03:00:38.077Z,1,132750724,codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,Markdown,542178,2018-05-15,2019-11-03,2021-02-19,https://gitstarclub.com/codecrafters-io/build-your-own-x,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/132750724.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,2,21737465,sindresorhus/awesome,sindresorhus,awesome,,499047,2015-06-17,2017-01-10,2018-11-08,https://gitstarclub.com/sindresorhus/awesome,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/21737465.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,3,54346799,public-apis/public-apis,public-apis,public-apis,Python,468749,2016-10-06,2019-02-07,2020-09-14,https://gitstarclub.com/public-apis/public-apis,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/54346799.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,4,28457823,freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,TypeScript,454456,2015-07-23,2015-12-20,2016-03-21,https://gitstarclub.com/freeCodeCamp/freeCodeCamp,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/28457823.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,5,13491895,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,Python,395040,2015-08-02,2017-02-10,2019-04-14,https://gitstarclub.com/EbookFoundation/free-programming-books,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/13491895.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,6,1103012935,openclaw/openclaw,openclaw,openclaw,TypeScript,387175,2026-01-26,2026-02-02,2026-03-26,https://gitstarclub.com/openclaw/openclaw,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1103012935.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,7,83222441,donnemartin/system-design-primer,donnemartin,system-design-primer,Python,365518,2017-03-16,2018-10-11,2020-05-27,https://gitstarclub.com/donnemartin/system-design-primer,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/83222441.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,8,85077558,nilbuild/developer-roadmap,nilbuild,developer-roadmap,TypeScript,365188,2017-03-24,2018-04-24,2020-02-14,https://gitstarclub.com/nilbuild/developer-roadmap,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/85077558.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,9,60493101,jwasham/coding-interview-university,jwasham,coding-interview-university,,359512,2016-10-09,2017-09-03,2019-11-21,https://gitstarclub.com/jwasham/coding-interview-university,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/60493101.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,10,21289110,vinta/awesome-python,vinta,awesome-python,Python,315568,2016-01-27,2018-08-30,2021-06-14,https://gitstarclub.com/vinta/awesome-python,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/21289110.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
