export_schema_version,export_date,data_as_of,rank,repo_id,full_name,owner,name,language,current_stars,crossed_10k,crossed_50k,crossed_100k,url,source_views,license,attribution
1,2026-06-26,2026-06-26T03:00:32.123Z,61,1148788086,mattpocock/skills,mattpocock,skills,Shell,138482,2026-05-15,,,https://gitstarclub.com/mattpocock/skills,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1148788086.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,62,787076358,firecrawl/firecrawl,firecrawl,firecrawl,TypeScript,135898,2024-08-29,2025-10-04,,https://gitstarclub.com/firecrawl/firecrawl,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/787076358.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,63,184456251,microsoft/PowerToys,microsoft,PowerToys,C#,135333,2019-09-24,2021-01-02,2023-07-07,https://gitstarclub.com/microsoft/PowerToys,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/184456251.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,64,23096959,golang/go,golang,go,Go,134830,2016-01-29,2018-10-26,2021-10-13,https://gitstarclub.com/golang/go,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/23096959.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,65,241576270,labuladong/fucking-algorithm,labuladong,fucking-algorithm,Markdown,134368,2020-03-10,2020-07-08,2021-08-15,https://gitstarclub.com/labuladong/fucking-algorithm,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/241576270.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,66,937253475,anthropics/claude-code,anthropics,claude-code,Python,133512,2025-06-10,,,https://gitstarclub.com/anthropics/claude-code,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/937253475.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,67,112507086,Chalarangelo/30-seconds-of-code,Chalarangelo,30-seconds-of-code,JavaScript,128151,2017-12-20,2019-09-26,2022-04-11,https://gitstarclub.com/Chalarangelo/30-seconds-of-code,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/112507086.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,68,561730219,krahets/hello-algo,krahets,hello-algo,Java,127740,2023-05-09,2023-12-01,2024-11-25,https://gitstarclub.com/krahets/hello-algo,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/561730219.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,69,721767116,clash-verge-rev/clash-verge-rev,clash-verge-rev,clash-verge-rev,TypeScript,126712,2024-03-07,2025-03-14,,https://gitstarclub.com/clash-verge-rev/clash-verge-rev,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/721767116.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,70,29028775,react/react-native,react,react-native,C++,126040,2015-03-31,2017-03-14,2020-06-15,https://gitstarclub.com/react/react-native,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/29028775.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
